Subfamily,Tribe,Division,Genus,Species,Species authority,Genus authority,Geographic Region,Genus species,Exons,Exons to Capture,Exons Status,Source Institution,Exome,Exome Status,Genome,Genome Status,Sperm,Skin,Notes Status,Notes Taxon,Samples,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,datae,Meyer,Meyer,PHILIPPINES,Apomys datae,Y ,N,Exome,,Y ,Library at UoM not in Capture,Maybe one Apomys,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,gracilirostris,Ruedas,Meyer,PHILIPPINES,Apomys gracilirostris,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,hylocetes,Mearns,Meyer,PHILIPPINES,Apomys hylocetes,Y ,N,Exome,,Y ,Library at UoM not in Capture,Maybe one Apomys,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,insignis,Mearns,Meyer,PHILIPPINES,Apomys insignis,Y ,N,Exome,,Y ,Library at UoM not in Capture,Maybe one Apomys,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,iridensis,Heaney;  Balete;  Veluz;  Steppan;  Esselstyn;  Pfeiffer;  & Rickart,Meyer,PHILIPPINES,Apomys iridensis,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,littoralis,Sanborn,Meyer,PHILIPPINES,Apomys littoralis,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,lubangensis,Heaney;  Balete;  Veluz;  Steppan;  Esselstyn;  Pfeiffer;  & Rickart,Meyer,PHILIPPINES,Apomys lubangensis,Y ,N,Exome,,Y ,Complete,Maybe one Apomys,,,,,,Apomys_lubangensis_JAE169_EXOME,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,magnus,Heaney;  Balete;  Rickart;  Alviola;  M. R. M. Duya;  M. V. Duya;  Veluz;  Vendevrede;  & Steppan,Meyer,PHILIPPINES,Apomys magnus,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,microdon,Hollister,Meyer,PHILIPPINES,Apomys microdon,Y ,N,Exome,,Y ,Library at UoM not in Capture,Maybe one Apomys,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,minganensis,Heaney;  Balete;  Rickart;  Alviola;  M. R. M. Duya;  M. V. Duya;  Veluz;  Vendevrede;  & Steppan,Meyer,PHILIPPINES,Apomys minganensis,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,musculus,Miller,Meyer,PHILIPPINES,Apomys musculus,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,sacobianus,Johnson,Meyer,PHILIPPINES,Apomys sacobianus,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,sierrae,Heaney;  Balete;  Rickart;  Alviola;  M. R. M. Duya;  M. V. Duya;  Veluz;  Vendevrede;  & Steppan,Meyer,PHILIPPINES,Apomys sierrae,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,sp_KU164868,,,PHILIPPINES,Apomys sp_KU164868,Maybe,N,Exome,,Y ,Library at UoM not in Capture,Maybe one Apomys,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,sp_KU166988,,,PHILIPPINES,Apomys sp_KU166988,Maybe,N,Exome,,Y ,Library at UoM not in Capture,Maybe one Apomys,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,sp_KU167970,,,PHILIPPINES,Apomys sp_KU167970,Maybe,N,Exome,,Y ,Library at UoM not in Capture,Maybe one Apomys,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Apomys,zambalensis,Heaney;  Balete;  Rickart;  Alviola;  M. R. M. Duya;  M. V. Duya;  Veluz;  Vendevrede;  & Steppan,Meyer,PHILIPPINES,Apomys zambalensis,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
