Label,Filter step,Reads
Mus-pos_ctrl_D2,2,1889702
Conilurus-albipes,2,175178381
Conilurus-penicillatus,2,30332267
Leggadina-forresti,2,43008560
Leggadina-lakedownensis,2,58735253
Mesembriomys-gouldii,2,37512102
Mesembriomys-macrurus,2,24917658
Notomys-alexis,2,38114479
Notomys-amplus,2,150510253
Notomys-aquilo,2,42642688
Notomys-cervinus,2,35955559
Notomys-fuscus,2,37608305
Notomys-longicaudatus,2,108947535
Notomys-macrotis,2,60294195
Notomys-mitchellii,2,21769696
Pseudomys-patrius,2,40062198
Pseudomys-pilligaensis,2,27058048
Pseudomys-shortridgei,2,32466566
Rattus-colletti,2,43875404
Rattus-tunneyi,2,24622801
Zyzomys-argurus,2,47478575
Zyzomys-maini,2,45949769
Zyzomys-palatalis,2,29124377
Zyzomys-pedunculatus,2,65208275
Zyzomys-woodwardi,2,20571790
Apomys-lubangensis,3,33827297
Batomys-salomonseni,3,37207033
Bulimus-bagobus,3,34582506
Chrotomys-mindorensis,3,41703760
Phloeomys-pallidus,3,37236725
Rhynchomys-isarogensis,3,37013195
Sundamys-meulleri,3,29443998
Taeromys-punicans,3,56913251
Hyorhinomys-stuempkei,3,30793780
Hybomys-univittatus,3,33534792
Colomys-goslingi,3,45427319
Malacomys-longipes,3,41943232
Hylomyscus-vulcanorum,3,49026424
Praomys-degraaffi,3,45397020
Grammomys-sp,3,47560763
Lemniscomys-striatus,3,34897462
Berylymys-bowersi,3,61274400
Crunomys-celebensis,3,35912235
Echiothrix-centrosa,3,26513903
Gracillimus-radix,3,49020631
Leopoldomys-sabanus,3,37235922
Margaretamys-parvus,3,54991902
Melasmothrix-naso,3,32829087
Paucidentomys-vermidax,3,31585666
Sommeromys-macrorhinos,3,30815706
Tateomys-macrocercus,3,24802638
Tateomys-rhinogradoides,3,38830179
Waiomys-mamasae,3,43562207
Chiropodomys-gliroides,3,30019857
Lorentzimys-nouhuysi,3,44437886
Mastacomys-fuscus,3,38869556
Melomys-rufescens,3,36538412
Hydromys-chrysogaster,3,47683969
Apodemus-sylvaticus,3,31540544
Archboldomys-luzonensis,3,31959930
Bunomys-chrysocomus,3,36947275
Haeromys-minahassae,3,29922170
Maxomys-surifer,3,37098915
Niviventer-lepturus,3,33144693
Paruromys-dominator,3,22867434
Bunomys-andrewsi,3,17124644
Rattus-exulans,3,36623711
Rattus-hoffmanni,3,47237129
Rattus-leucopus,3,16149034
Rattus-lutreolus,3,19192667
Maxomys-musschenbroekii,3,17643808
Rattus-praetor,3,15405662
Rattus-villosissimus,3,20053888
Mus-caroli,3,29738304
Mus-cervicolor,3,42110480
Mus-cookii,3,44004866
Mus-macedonicus,3,28005322
Mus-minutoides,3,34328363
Mus-molossinus,3,22440615
Mus-musculus-castaneus,3,24623529
Mus-musculus-domesticus,3,34883316
Mus-musculus-musculus,3,34690521
Mus-musculus-reference,3,20653468
Mus-pahari,3,26712597
Mus-platythrix,3,40957201
Mus-spicilegus,3,23808251
Mus-spretus,3,21447514
Coccymys-ruemmleri,3,22968005
Grammomys-dryas,3,24355811
Carpomys-melanurus,3,20470753
Crateromys-heaneyi,3,26002584
Dasymys-montanus,3,24635652
Aethomys-hindei,3,28697303
Hylomyscus-stella,3,32311272
Anisomys-imitator,3,31749291
Crunomys-melanius,3,23042581
Niviventer-rapit,3,20208788
Phloeomys-cumingii,3,23104105
Aethomys-nyikae,3,28283618
Hybomys-planifrons,3,27280132
Pogonomys-macrourus,3,28226493
Musseromys-anacuao,3,22121152
Limnomys-sibuanus,3,23835875
Pithecheir-melanurus,3,20524870
Thamnomys-sp.,3,27909425
Mammelomys-lanosus,3,20637760
Xenuromys-barbatus,3,27521132
Hydromys-sp-nov,3,26111282
Xeromys-myoides,3,19862889
Pseudohydromys-ellermani,3,24952800
Leptomys-elegans,3,22320907
Pelomys-isseli,3,25597881
Mus-pos_ctrl_F,3,3233301
Mus-pos_ctrl_E,3,2375022
Niviventer-bukit,3,24312343
